a_or_b	build_name	resolution	compare_to	attribute	distance_map
a	F	all-time	root	epi_00	epi_00
a	F	all-time	root	epi_01	epi_01
a	F	all-time	root	epi_02	epi_02
a	F	all-time	root	epi_03	epi_03
a	F	all-time	root	epi_04	epi_04
a	F	all-time	root	epi_05	epi_05
a	F	all-time	root	epi_all	epi_all
a	F	all-time	root	surface_residues_postf	surface_residues_postf
a	F	all-time	root	surface_residues_pref	surface_residues_pref
b	F	all-time	root	epi_00	epi_00
b	F	all-time	root	epi_01	epi_01
b	F	all-time	root	epi_02	epi_02
b	F	all-time	root	epi_03	epi_03
b	F	all-time	root	epi_04	epi_04
b	F	all-time	root	epi_05	epi_05
b	F	all-time	root	epi_all	epi_all
b	F	all-time	root	surface_residues_postf	surface_residues_postf
b	F	all-time	root	surface_residues_pref	surface_residues_pref
a	F	3y	root	epi_00	epi_00
a	F	3y	root	epi_01	epi_01
a	F	3y	root	epi_02	epi_02
a	F	3y	root	epi_03	epi_03
a	F	3y	root	epi_04	epi_04
a	F	3y	root	epi_05	epi_05
a	F	3y	root	epi_all	epi_all
a	F	3y	root	surface_residues_postf	surface_residues_postf
a	F	3y	root	surface_residues_pref	surface_residues_pref
b	F	3y	root	epi_00	epi_00
b	F	3y	root	epi_01	epi_01
b	F	3y	root	epi_02	epi_02
b	F	3y	root	epi_03	epi_03
b	F	3y	root	epi_04	epi_04
b	F	3y	root	epi_05	epi_05
b	F	3y	root	epi_all	epi_all
b	F	3y	root	surface_residues_postf	surface_residues_postf
b	F	3y	root	surface_residues_pref	surface_residues_pref
a	F	6y	root	epi_00	epi_00
a	F	6y	root	epi_01	epi_01
a	F	6y	root	epi_02	epi_02
a	F	6y	root	epi_03	epi_03
a	F	6y	root	epi_04	epi_04
a	F	6y	root	epi_05	epi_05
a	F	6y	root	epi_all	epi_all
a	F	6y	root	surface_residues_postf	surface_residues_postf
a	F	6y	root	surface_residues_pref	surface_residues_pref
b	F	6y	root	epi_00	epi_00
b	F	6y	root	epi_01	epi_01
b	F	6y	root	epi_02	epi_02
b	F	6y	root	epi_03	epi_03
b	F	6y	root	epi_04	epi_04
b	F	6y	root	epi_05	epi_05
b	F	6y	root	epi_all	epi_all
b	F	6y	root	surface_residues_postf	surface_residues_postf
b	F	6y	root	surface_residues_pref	surface_residues_pref
a	genome	all-time	root	epi_00	epi_00
a	genome	all-time	root	epi_01	epi_01
a	genome	all-time	root	epi_02	epi_02
a	genome	all-time	root	epi_03	epi_03
a	genome	all-time	root	epi_04	epi_04
a	genome	all-time	root	epi_05	epi_05
a	genome	all-time	root	epi_all	epi_all
a	genome	all-time	root	surface_residues_postf	surface_residues_postf
a	genome	all-time	root	surface_residues_pref	surface_residues_pref
b	genome	all-time	root	epi_00	epi_00
b	genome	all-time	root	epi_01	epi_01
b	genome	all-time	root	epi_02	epi_02
b	genome	all-time	root	epi_03	epi_03
b	genome	all-time	root	epi_04	epi_04
b	genome	all-time	root	epi_05	epi_05
b	genome	all-time	root	epi_all	epi_all
b	genome	all-time	root	surface_residues_postf	surface_residues_postf
b	genome	all-time	root	surface_residues_pref	surface_residues_pref
a	genome	3y	root	epi_00	epi_00
a	genome	3y	root	epi_01	epi_01
a	genome	3y	root	epi_02	epi_02
a	genome	3y	root	epi_03	epi_03
a	genome	3y	root	epi_04	epi_04
a	genome	3y	root	epi_05	epi_05
a	genome	3y	root	epi_all	epi_all
a	genome	3y	root	surface_residues_postf	surface_residues_postf
a	genome	3y	root	surface_residues_pref	surface_residues_pref
b	genome	3y	root	epi_00	epi_00
b	genome	3y	root	epi_01	epi_01
b	genome	3y	root	epi_02	epi_02
b	genome	3y	root	epi_03	epi_03
b	genome	3y	root	epi_04	epi_04
b	genome	3y	root	epi_05	epi_05
b	genome	3y	root	epi_all	epi_all
b	genome	3y	root	surface_residues_postf	surface_residues_postf
b	genome	3y	root	surface_residues_pref	surface_residues_pref
a	genome	6y	root	epi_00	epi_00
a	genome	6y	root	epi_01	epi_01
a	genome	6y	root	epi_02	epi_02
a	genome	6y	root	epi_03	epi_03
a	genome	6y	root	epi_04	epi_04
a	genome	6y	root	epi_05	epi_05
a	genome	6y	root	epi_all	epi_all
a	genome	6y	root	surface_residues_postf	surface_residues_postf
a	genome	6y	root	surface_residues_pref	surface_residues_pref
b	genome	6y	root	epi_00	epi_00
b	genome	6y	root	epi_01	epi_01
b	genome	6y	root	epi_02	epi_02
b	genome	6y	root	epi_03	epi_03
b	genome	6y	root	epi_04	epi_04
b	genome	6y	root	epi_05	epi_05
b	genome	6y	root	epi_all	epi_all
b	genome	6y	root	surface_residues_postf	surface_residues_postf
b	genome	6y	root	surface_residues_pref	surface_residues_pref

